"","symbol","country"
"1085","GOL","Brazil"
"1086","GFI","South Africa"
"1087","GG","Canada"
"1088","GS","US"
"1089","GSF","US"
"1090","GSJ","US"
"1091","GS.PRA","US"
"1092","GS.PRB","US"
"1093","GS.PRC","US"
"1094","GS.PRD","US"
"1095","GS.PRI","US"
"1096","GS.PRJ","US"
"1097","GS.PRK","US"
"1098","GMZ","US"
"1099","GDP","US"
"1100","GDP.PRC","US"
"1101","GDP.PRD","US"
"1102","GOV","US"
"1103","IRE","Ireland"
"1104","GPX","US"
"1105","GGG","US"
"1106","GTI","US"
"1107","GHM","US"
"1108","GHC","US"
"1109","GPT","US"
"1110","GPT.PRA","US"
"1111","GVA","US"
"1112","GRP.U","Canada"
"1113","GPK","US"
"1114","GTN","US"
"1115","GTN.A","US"
"1116","GRAM","US"
"1117","GNI","US"
"1118","GXP","US"
"1119","GXP.PRA","US"
"1120","GXP.PRD","US"
"1121","GXP.PRE","US"
"1122","GB","US"
"1123","GDOT","US"
"1124","GBX","US"
"1125","GHL","US"
"1126","GEF","US"
"1127","GEF.B","US"
"1128","GFF","US"
"1129","GPI","US"
"1130","GRUB","US"
"1131","GMK","Mexico"
"1132","PAC","Mexico"
"1133","ASR","Mexico"
"1134","BSMX","Mexico"
"1135","TV","Mexico"
"1136","GSH","China"
"1137","GES","US"
"1138","GBAB","US"
"1139","GGM","US"
"1140","GPM","US"
"1141","GGE","US"
"1142","GEQ","US"
"1143","GOF","US"
"1144","GWRE","US"
"1145","GUA","US"
"1146","GLF","US"
"1147","HQL","US"
"1148","HQH","US"
"1149","HRB","US"
"1150","HAE","US"
"1151","HK","US"
"1152","HAL","US"
"1153","HBI","US"
"1154","HGR","US"
"1155","HASI","US"
"1156","THG","US"
"1157","THGA","US"
"1158","HRG","US"
"1159","HOG","US"
"1160","HAR","US"
"1161","HMY","South Africa"
"1162","HRS","US"
"1163","HSC","US"
"1164","HHS","US"
"1165","HIG","US"
"1166","HGH","US"
"1167","HIG.WS","US"
"1168","HNR","US"
"1169","HTS","US"
"1170","HTS.PRA","US"
"1171","HVT","US"
"1172","HVT.A","US"
"1173","HE","US"
"1174","FUL","US"
"1175","HCA","US"
"1176","HCC","US"
"1177","HCI","US"
"1178","HCJ","US"
"1179","HCP","US"
"1180","HDB","India"
"1181","HW","US"
"1182","HCN","US"
"1183","HCN.PRI","US"
"1184","HCN.PRJ","US"
"1185","HNT","US"
"1186","HR","US"
"1187","HTA","US"
"1188","HLS","US"
"1189","HPY","US"
"1190","HL","US"
"1191","HL.PRB","US"
"1192","HE.PRU","US"
"1193","HEI","US"
"1194","HEI.A","US"
"1195","HAV","US"
"1196","HIH","US"
"1197","HMH","US"
"1198","HSA","US"
"1199","HLX","US"
"1200","HP","US"
"1201","HLF","Cayman Islands"
"1202","HTGC","US"
"1203","HTGX","US"
"1204","HTGY","US"
"1205","HTGZ","US"
"1206","HRTG","US"
"1207","HT","US"
"1208","HT.PRB","US"
"1209","HT.PRC","US"
"1210","HSY","US"
"1211","HTZ","US"
"1212","HES","US"
"1213","HPQ","US"
"1214","HXL","US"
"1215","HCLP","US"
"1216","IVH","US"
"1217","ONE","US"
"1218","HIW","US"
"1219","HIL","US"
"1220","HRC","US"
"1221","HI","US"
"1222","HSH","US"
"1223","HTH","US"
"1224","HLT","US"
"1225","HNI","US"
"1226","HEP","US"
"1227","HFC","US"
"1228","HD","US"
"1229","HMC","Japan"
"1230","HON","US"
"1231","HMN","US"
"1232","HTF","US"
"1233","HRL","US"
"1234","HOS","US"
"1235","HSP","US"
"1236","HPT","US"
"1237","HPT.PRD","US"
"1238","HST","US"
"1239","HOV","US"
"1240","HHC","US"
"1241","HSFC.PRB","US"
"1242","HSBC","United Kingdom"
"1243","HSBC.PRA","United Kingdom"
